,0
508,PixelJunk
509,Plants vs. Zombies
510,Point Blank
511,Pokémon
512,Pole Position
513,Pong
514,Populous
515,Portal
516,Postal
517,Power Pros
518,Power Stone
519,Prince of Persia
520,Princess Maker
521,Pro Evolution Soccer
522,Professor Layton
523,Project Gotham Racing
524,Project X Zone
525,Prototype
526,Punch-Out!!
527,Pushmo
528,Putt-Putt
529,Puyo Puyo
530,Puzzle Bobble
531,Puzzle & Dragons
532,Puzzle League
533,Q*bert
534,Qix
535,Quake
536,Quest for Glory
537,R-Type
538,Raiden
539,Railroad Tycoon
540,Rakugaki Ōkoku
541,Rampage
542,Rally-X
543,Rastan
544,Ratchet & Clank
545,RayForce
546,Rayman
547,Raving Rabbids
548,R.C. Pro-Am
549,Red Dead
550,Red Faction
551,Red Steel
552,Resident Evil
553,Resistance
554,Retro Game Challenge
555,Rhythm Heaven
556,Ridge Racer
557,Risen
558,Road Fighter
559,Robopon
560,Robot
561,Robotron: 2084
562,Rock Band
563,Rod Land
564,RollerCoaster Tycoon
565,Rolling Thunder
566,Romance of the Three Kingdoms
567,RPG Maker
568,Rumble Roses
569,Rune Factory
570,Runescape
571,Rush
572,Rush'n Attack
573,Rygar
574,Sabreman
575,SaGa
576,Saints Row
577,Sakura Wars
578,Salamander
579,Sam & Max
580,Samurai Shodown
581,Samurai Warriors
582,Scene It?
583,Schoolgirl Strikers
584,Science Adventure
585,Scramble
586,Scribblenauts
587,Seaman
588,Sega Ages
589,Sega Rally
590,Serious Sam
591,The Settlers
592,Shadowgate
593,Shantae
594,Shenmue
595,Shining
596,Shinobi
597,Shōnen Jump
598,Shoot Away
599,Silent Hill
600,Silent Scope
601,Silpheed
602,SimCity
603,Simple
604,The Sims
605,Sin and Punishment
606,SingStar
607,Skate
608,Skylanders
609,Sly Cooper
610,Snake Rattle 'n' Roll
611,Snowboard Kids
612,SOCOM
613,Soldier
614,Sonic Blast Man
615,Sonic the Hedgehog
616,Soulcalibur
617,Souls
618,Space Harrier
619,Space Invaders
620,Space Quest
621,Spider-Man
622,Splatoon
623,Splatterhouse
624,'Splosion Man
625,SpongeBob SquarePants
626,Spy Hunter
627,Spyro
628,SSX
629,S.T.A.L.K.E.R.
630,Star Force
631,Star Fox
632,Star Luster
633,Star Ocean
634,Star Wars
635,StarCraft
636,StarTropics
637,State of Decay
638,SteamWorld
639,Steel Battalion
640,Steel Gunner
641,Story of Seasons
642,Street Fighter
643,Streets of Rage
644,Strider
645,Strikers 1945
646,Stronghold
647,Suikoden
648,Summon Night
649,Super Monkey Ball
650,Super Robot Wars
651,Super Smash Bros.
652,Sutte Hakkun
653,Swordquest
654,Syphon Filter
655,System Shock
656,Taiko no Tatsujin
657,Taito Memories
658,Tales
659,Tank Battalion
660,Team Fortress
661,Tecmo Bowl
662,Teenage Mutant Ninja Turtles
663,Tekken
664,Tempest
665,Terra Cresta
666,Test Drive
667,Tetris
668,Thief
669,Thunder Ceptor
670,Thunder Cross
671,Thunder Force
672,Tiger Heli
673,Time Crisis
674,Time Pilot
675,TimeSplitters
676,Titanfall
677,Tobal
678,TOCA
679,ToeJam & Earl
680,Tokimeki Memorial
681,Tom Clancy's
682,Tom Clancy's The Division
683,Tom Clancy's Ghost Recon
684,Tom Clancy's H.A.W.X
685,Tom Clancy's Rainbow Six
686,Tom Clancy's Splinter Cell
687,Tomb Raider
688,Tomodachi Collection
689,Tony Hawk's
690,Total War
691,Touch! Generations
692,Touhou Project
693,Toukiden
694,Track & Field
695,Train Simulator
696,Trauma Center
697,Trials
698,Tribes
699,Trine
700,Tropico
701,True Crime
702,Truxton
703,Turok
704,Turrican
705,TwinBee
706,Twisted Metal
707,Two Worlds
708,Ultima
709,Uncharted
710,Unravel
711,Unreal
712,Valis
713,Valkyria Chronicles
714,Valkyrie
715,Valkyrie Profile
716,Vampire: The Masquerade
717,Vandal Hearts
718,Vanguard
719,Vectorman
720,Vib-Ribbon
721,Viewtiful Joe
722,Violence Fight
723,Virtua Cop
724,Virtua Fighter
725,Virtua Striker
726,Virtua Tennis
727,Virtual On
728,Viva Piñata
729,V-Rally
730,Wagan Land
731,The Walking Dead
732,Wangan Midnight
733,Warcraft
734,"Warhammer 40,000"
735,Warhammer Fantasy
736,Wario
737,Warlords
738,Wars
739,Wasteland
740,Watch Dogs
741,Wave Race
742,White Knight Chronicles
743,Wii
744,Wild Arms
745,Wing Commander
746,Winning Run
747,Wipeout
748,The Witcher
749,Wizardry
750,Wizards & Warriors
751,Wolf Fang
752,Wolfenstein
753,Wonder Boy
754,Wonder Momo
755,Wonder Project
756,World Heroes
757,World Stadium
758,Worms
759,Wrecking Crew
760,WWE 2K
761,X
762,X
763,Xanadu
764,X-COM
765,Xeno
766,Xevious
767,Yakuza
768,Yie Ar Kung-Fu
769,Yo-kai Watch
770,Yooka-Laylee
771,Yoshi
772,You Don't Know Jack
773,Ys
774,Yu-Gi-Oh!
775,Zanac
776,Zaxxon
777,Zero Escape
778,Zill O'll
779,Zone of the Enders
780,Zool
781,Zoombinis
782,Zoo Tycoon
783,Zork
784,Zuma
